num,m,r,zh,,id,d,da,,
1,ᠠ,a,慢 | 阳 | 字牙,,2,03/07/2017 07:14:41,03/24/2019 22:08:59,阿,
2,ᠠ  ᡳ ᠪᡠᡴᡩᠠᠨ,a I bukdan,阳扣,,2,03/07/2017 08:14:41,07/05/2015 17:14:41,,
3,ᠠ ᡶᠠ ᠰᡝᡵᡝ ᠣᠨᡤᡤᠣᠯᠣ,a fa sere onggolo,未见怎么样,,2,03/07/2017 09:14:41,07/05/2015 19:14:41,,
4,ᠠ ᠵᡳᠵᡠᠨ  ᡳ ᠠᠴᠠᠨᡤᡤᠠ,a jijun I acangga,阳文合符,,2,03/07/2017 10:14:41,07/05/2015 21:14:41,,
5,ᠠ ᠰᡳ,a si,逐鸡鸟声,,2,03/07/2017 11:14:41,07/05/2015 23:14:41,,
6,ᠠ ᠰᡳ ᠰᡝᠮᡝ,a si seme,胡乱哄闹貌,,2,03/07/2017 12:14:41,07/06/2015 01:14:41,,
7,ᠠ ᡨᠠ,a ta,乱闹状,,2,03/07/2017 13:14:41,07/06/2015 03:14:41,,
8,ᠠ ᡨᠠ ᠰᡝᠮᡝ,a ta seme,赶鸡雀声,,2,03/07/2017 14:14:42,07/06/2015 05:14:42,,
9,ᠠ/ᡝᠨ,a/en,啊/嗯,,2,03/07/2017 15:14:42,07/06/2015 07:14:42,,
10,ᠠᠠ,aa,惊惧声 | 应声,,2,03/07/2017 16:14:42,07/06/2015 09:14:42,,
11,ᠠᠠᠯᠪᠠᡴᡳ,aalbaki,旁边的,,2,03/07/2017 17:14:42,07/06/2015 11:14:42,,
12,ᠠᠪᠠ,aba,在何处 | 狩猎，在哪里，何在 | 畋猎,,2,03/07/2017 18:14:42,07/06/2015 13:14:42,,
13,ᠠᠪᠠ ᠪᠠᡵᡤᡳᠶᠠᠮᠪᡳ,aba bargiyambi,收围,,2,03/07/2017 19:14:42,07/06/2015 15:14:42,,
14,ᠠᠪᠠ ᠰᠠᡥᠠ,aba saha,打围,,2,03/07/2017 20:14:42,07/06/2015 17:14:42,,
15,ᠠᠪᠠ ᠰᠠᡵᠠᠮᠪᡳ,aba sarambi,撤围 | 撒围,,2,03/07/2017 21:14:42,07/06/2015 19:14:42,,
16,ᠠᠪᠠ ᠰᡳᠨᡩᠠᠮᠪᡳ,aba sindambi,放围,,2,03/07/2017 22:14:42,07/06/2015 21:14:42,,
